Time,Force,Jaw,Strain,Stress,TC1
(sec),(kN),(mm),,(MPa),(C)
6.5960000000000001,7.9767070000000002,2.1042562,0.19267964000000001,83.764602999999994,849.79351999999994
6.5964999999999998,7.9638181000000001,2.1043758000000001,0.19317748000000001,83.578513999999998,849.76049999999998
6.5970000000000004,7.9716902000000003,2.1083438000000001,0.19292719999999999,83.675933999999998,849.72748000000001
6.5975000000000001,7.9767165000000002,2.1039829000000001,0.19280491999999999,83.765754999999999,849.69446000000005
6.5979999999999999,7.9663563000000002,2.1076641,0.19325334,83.616135,849.66143999999997
6.5984999999999996,7.9640985000000004,2.1069081000000001,0.19274582000000001,83.554755999999998,849.62842000000001
6.5990000000000002,7.9714555999999996,2.1031770999999999,0.19284095000000001,83.603790000000004,849.59540000000004
6.5994999999999999,7.9831742999999999,2.1113195,0.19331577,83.873076999999995,849.56237999999996
6.6,7.2163262000000001,2.1121044000000002,0.19336039999999999,77.157875000000004,849.52936
6.6005000000000003,7.5089930999999996,2.1122312999999999,0.19391206999999999,78.596526999999995,849.49634000000003
6.601,7.9747949,2.1134583999999998,0.19355853000000001,83.243270999999993,849.46331999999995
6.6014999999999997,8.2073564999999995,2.1026638000000002,0.19268019,86.027893000000006,849.43029999999999
6.6020000000000003,8.2637643999999995,2.1036551000000001,0.19301836,86.754433000000006,849.39728000000002
6.6025,8.2651701000000006,2.1094368000000001,0.19307305,86.736366000000004,849.36425999999994
6.6029999999999998,8.2276477999999997,2.1074704999999998,0.19319648,86.663086000000007,849.33123999999998
6.6035000000000004,8.1004743999999995,2.1092916000000002,0.19352954999999999,85.099875999999995,849.29822000000001
6.6040000000000001,8.0286179000000004,2.1076359999999998,0.19295543000000001,84.316032000000007,849.26520000000005
6.6044999999999998,7.9964757000000004,2.1035621,0.19290236999999999,83.929801999999995,849.23217999999997
6.6050000000000004,7.9985561000000001,2.1082211000000002,0.19316575,83.959159999999997,849.19916000000001
6.6055000000000001,8.0044155000000003,2.1049036999999999,0.19278555999999999,84.051727,849.16614000000004
6.6059999999999999,7.9966692999999998,2.1039131000000002,0.1930742,83.92765,849.15326000000005
6.6064999999999996,7.9852714999999996,2.1084127000000001,0.19302158,83.808402999999998,849.14539000000002
6.6070000000000002,7.9887309000000002,2.1037849999999998,0.19273077999999999,83.816001999999997,849.13751000000002
6.6074999999999999,7.9971456999999999,2.1060829000000001,0.19333805000000001,83.952179000000001,849.12963999999999
6.6079999999999997,7.9840144999999998,2.1086532999999998,0.19295044,83.883171000000004,849.12183000000005
6.6085000000000003,7.9718479999999996,2.1036948999999998,0.19277135000000001,83.754379,849.11395000000005
6.609,7.9824257000000003,2.1063470999999998,0.19314317,83.827003000000005,849.10608000000002
6.6094999999999997,7.9921660000000001,2.1072831000000001,0.1928301,83.916022999999996,849.09820999999999
6.61,8.6899080000000009,2.1102528999999999,0.19358225000000001,89.325035,849.09032999999999
6.6105,8.4622393000000002,2.1192943999999998,0.19425945,88.757758999999993,849.08252000000005
6.6109999999999998,8.0262384000000004,2.1102433,0.19341257000000001,84.581847999999994,849.07465000000002
6.6115000000000004,7.8261079999999996,2.1019397,0.19294111,82.323982000000001,849.06677000000002
6.6120000000000001,7.7663975000000001,2.1063502000000001,0.19270164000000001,81.624352000000002,849.05889999999999
6.6124999999999998,7.7250791000000003,2.1045995,0.19273819,81.182945000000004,849.05102999999997
6.6130000000000004,7.7637010000000002,2.1091611000000001,0.19366875,81.174728000000002,849.04321000000004
6.6135000000000002,7.9191165000000003,2.1111977,0.19325262000000001,82.978378000000006,849.03534000000002
6.6139999999999999,7.9888139000000002,2.1044858,0.19282785,83.819359000000006,849.02746999999999
6.6144999999999996,7.9916162000000002,2.1079199000000002,0.19325207,83.901054000000002,849.01958999999999
6.6150000000000002,7.9920796999999997,2.1072232999999998,0.19291364999999999,83.902473000000001,849.01171999999997
6.6154999999999999,8.0134744999999992,2.1041767999999998,0.19296856000000001,84.038818000000006,849.00391000000002
6.6159999999999997,8.0055551999999999,2.1090488000000001,0.19316823999999999,84.028182999999999,849.03632000000005
6.6165000000000003,7.9847345000000001,2.1047375000000001,0.19274294,83.830780000000004,849.0788
6.617,7.9760432000000003,2.1047041000000002,0.19318142999999999,83.700371000000004,849.12121999999999
6.6174999999999997,7.9906030000000001,2.1097514999999998,0.19310498000000001,83.860634000000005,849.16369999999995
6.6180000000000003,7.9985799999999996,2.1041367000000002,0.19281145999999999,83.954109000000003,849.20612000000006
6.6185,7.9812126000000001,2.1060641000000002,0.19326151999999999,83.767685,849.24860000000001
6.6189999999999998,7.9703258999999997,2.1080269999999999,0.19286521000000001,83.613585999999998,849.29107999999997
6.6195000000000004,7.9870367,2.1041862999999998,0.19274092000000001,83.853745000000004,849.33349999999996
6.62,7.2890205000000003,2.1183573999999998,0.19440202000000001,78.199104000000005,849.37598000000003
6.6204999999999998,7.4967116999999996,2.1159213000000001,0.19381973,78.614036999999996,849.41840000000002
6.6210000000000004,7.9573517000000002,2.1084816000000002,0.19358073000000001,83.038712000000004,849.46087999999997
6.6215000000000002,8.2020234999999992,2.1076541,0.19307381000000001,85.858788000000004,849.50336000000004
6.6219999999999999,8.2681065,2.1024683,0.19259121000000001,86.812370000000001,849.54578000000004
6.6224999999999996,8.2791604999999997,2.1059632000000001,0.19327043999999999,86.960037,849.58825999999999
6.6230000000000002,8.2249479000000001,2.1118885999999999,0.19326222000000001,86.621337999999994,849.63067999999998
6.6234999999999999,8.0861063000000009,2.1056767000000001,0.19295435,85.000275000000002,849.67316000000005
6.6239999999999997,8.0284309,2.1061122000000001,0.19316889000000001,84.305496000000005,849.71564000000001
6.6245000000000003,7.9905132999999999,2.1079384999999999,0.19282982000000001,83.955025000000006,849.75806
6.625,7.9695330000000002,2.1026981,0.19272507999999999,83.771202000000002,849.80053999999996
6.6254999999999997,7.9718900000000001,2.1075455999999999,0.19314939,83.652045999999999,849.84295999999995
6.6260000000000003,7.9878488000000001,2.1059041000000001,0.19269136000000001,83.870506000000006,849.82750999999996
6.6265000000000001,7.9830240999999997,2.1032359999999999,0.1929573,83.843245999999994,849.79767000000004
6.6269999999999998,7.9731630999999998,2.1082128999999998,0.19306576,83.729354999999998,849.76775999999995
6.6275000000000004,7.9793835,2.1038644,0.19268566000000001,83.792664000000002,849.73792000000003
6.6280000000000001,7.9909967999999996,2.1046391,0.19315532999999999,83.871352999999999,849.70800999999994
